participant_number,communication_medium,communicator_candidate,agree_with_communicator,own_political_views,how_strongly,evaluator_candidate,trump,kasich,clinton,sanders,cruz,competent,thoughtful,emotional,likable,experience1_pleasure,experience2_pain,agency1_self_control,agency2_remembering,agency3_planning,agency4_self_aware,humanization1_refined_cultured,humanization2_impulsive,humanization2_reverse_impulsive,humanization3_rational,humanization4_open_minded,humanization5_unsophisticated,humanization5_reverse_unsophisticated,humanization6_emotional_warm,humanization7_superficial,humanization7_reverse_superficial,humanization8_mechanical,humanization8_reverse_mechanical,humanization9_mindless,humanization9_reverse_mindless,humanization10_developed_adult,humanization11_animal_less_than_human,humanization11_reverse_animal_less_than_human,humanization12_warm_friendly,similarity_to_you,positive_impression,negative_impression,reverse_negative_impression,persuasion1_belief_change,persuasion2_how_persuasive,persuasion3_how_hard_think,persuasion4_how_rational,human_uniqueness_scale,human_nature_scale,experience_scale,agency_scale,persuasion_scale,gender,age,easy_to_understand,time_spent_on_stimulus,memory_score
11,2,4,0,3,3,6,0,3,0,0,3,2,2,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,1,1,3,3,3,0,0,1,1,0.17,0.17,0,0,0.5,1,41,3,110.834,1.5
12,2,1,0,2,2,6,6,2,4,5,3,4,5,3,5,1,-1,2,2,2,3,1,-2,2,2,2,-1,1,1,-2,2,-2,2,-2,2,2,-2,2,1,4,5,2,4,2,4,2,5,1.67,1.67,0,2.25,3.25,1,19,6,65.697,1.5
13,2,3,1,0,6,3,0,0,6,6,0,6,6,5,6,0,0,0,0,0,1,3,-3,3,3,3,-3,3,3,-3,3,-3,3,-3,3,3,-3,3,3,6,6,6,0,0,5,6,6,3,3,0,0.25,4.25,2,27,6,178.68,1.25
14,3,1,0,3,6,2,3,0,0,0,3,4,4,2,3,0,0,0,0,0,0,0,-3,3,0,0,-3,3,-2,-3,3,-3,3,-3,3,0,-3,3,0,3,4,2,4,0,1,4,4,1.5,1.17,0,0,2.25,2,21,4,4.88,1
15,4,2,0,1,4,3,0,3,3,5,3,1,1,4,2,1,1,-2,1,0,-1,-3,2,-2,-3,1,2,-2,-2,3,-3,3,-3,3,-3,-2,0,0,-2,0,1,6,0,0,0,0,0,-2,-2,1,-0.5,0,2,19,5,6.558,2
16,3,3,1,3,5,6,3,4,3,4,4,5,5,4,5,0,0,1,1,1,1,0,-2,2,2,1,-1,1,0,-1,1,-1,1,-1,1,0,-2,2,1,5,5,1,5,4,4,4,4,1.17,0.83,0,1,4,2,47,5,105.363,1.5
17,1,4,0,4,4,2,6,0,0,0,0,5,6,4,5,0,0,0,0,0,0,-1,0,0,0,0,0,0,1,-1,1,0,0,0,0,0,0,0,1,4,5,2,4,0,2,3,4,-0.17,0.5,0,0,2.25,2,33,6,92.842,1.75
18,1,1,0,3,5,2,3,1,0,2,0,4,4,1,4,1,1,1,2,0,0,-1,-1,1,1,-2,-1,1,1,-1,1,-2,2,-1,1,1,-3,3,0,3,3,1,5,0,2,3,4,1,0.5,1,0.75,2.25,1,34,5,90.253,1.5
19,1,2,0,4,3,3,0,3,0,5,2,1,3,5,4,0,0,-1,0,-1,-1,-2,1,-1,-2,-1,1,-1,1,1,-1,-1,1,0,0,0,0,0,-1,2,2,4,2,0,1,1,2,-1,-0.17,0,-0.75,1,2,27,3,92.676,1.75
20,3,4,0,2,5,3,1,2,3,4,0,2,3,4,3,0,0,0,0,-1,-1,-2,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,2,3,3,3,0,1,1,2,-0.5,0,0,-0.5,1,1,35,5,164.343,1.5
