participant_number,communication_medium,communicator_candidate,agree_with_communicator,own_political_views,human_uniqueness_scale,human_nature_scale,gender,age
129,1,3,1,1,1.67,-0.17,2,22
130,3,3,1,3,0.67,0.83,1,44
131,2,3,0,3,0.17,0.5,1,47
132,4,1,0,0,0.67,0,1,22
133,3,1,0,4,0.83,0.67,1,50
134,2,1,0,2,-1.17,-0.67,1,30
135,3,3,1,0,0.67,2.17,2,23
136,4,4,0,6,-1.67,-1.83,2,43
137,2,2,0,0,0.33,0.17,1,21
138,2,1,0,6,1.5,-0.17,2,52
139,1,1,0,2,1.5,-0.33,2,24
140,4,2,0,2,-0.67,-1,1,25
141,3,2,0,4,0.5,1.5,1,26
142,4,1,0,5,1.17,1.17,1,41
143,3,4,0,0,-1.17,-0.33,1,32
144,4,3,1,5,2.5,2,2,29
145,3,3,0,3,3,2.83,2,32
146,1,3,0,5,1.17,2.33,2,56
147,1,1,0,2,0.5,1.5,1,37
148,2,3,1,3,1.5,0.33,2,42
149,2,2,0,3,0,0,2,21
150,1,3,1,3,2.33,1.33,2,24
151,3,1,0,3,-0.17,0.17,2,53
152,2,3,1,1,1.83,1.33,1,21
153,1,3,1,1,1,0.17,1,32
154,2,3,0,2,2,2.17,1,26
155,3,1,0,3,2.5,2,2,24
156,2,4,0,4,-0.17,-0.5,1,34
157,1,1,1,4,0.5,0.5,2,36
158,1,4,0,6,-0.83,0,1,50
159,4,1,1,6,1,2,1,33
160,4,1,0,2,0.67,-0.17,1,29
161,4,1,0,1,0.67,0.33,1,24
162,4,3,1,1,1.5,2,1,45
163,2,1,1,5,1.17,1.5,1,30
164,3,3,1,1,1,0.67,1,24
165,3,3,0,6,0.17,-0.17,1,25
166,2,1,0,1,-0.5,-2,2,25
167,3,4,1,1,-0.33,1.5,1,26
168,3,1,0,4,-0.33,0.5,1,38
169,1,3,0,3,0.33,0.5,1,23
170,4,4,1,0,1.5,-0.5,1,26
171,2,1,0,1,1.33,1.67,2,45
172,1,1,0,0,2.33,1.5,1,35
173,4,3,1,3,0.83,2,1,57
174,4,3,0,1,1.17,1.5,2,32
175,3,3,0,3,-1,-0.33,1,54
176,4,3,1,0,2.33,2.33,1,59
177,1,2,0,4,0.83,1.17,2,21
178,1,1,0,3,0.17,0,1,30
179,4,1,1,4,1.5,1.67,1,38
180,1,4,0,5,0.83,0.67,2,49
181,3,2,1,4,-1.17,-1,2,59
182,2,1,1,4,0,-0.67,1,26
183,2,3,1,0,1.5,1.5,2,23
184,1,3,0,4,2.17,0.83,1,26
185,2,2,0,2,-0.17,-0.17,2,40
186,3,3,1,3,2.33,2.83,1,26
187,4,1,0,6,-0.17,-0.33,1,65
188,2,3,0,4,1.33,0.67,1,32
189,3,3,0,5,1,0.83,2,50
190,1,3,0,5,0,0,1,54
