ID,Mode,Ephemerality,gender,age_1,Stimulus,ClickCount,FirstClick,LastClick,PageSubmit,RecommendationFollowed
247,Auditory,1,1,32,shampoo,2,2.744,5.911,7.76,0
248,Auditory,1,1,32,toaster,1,10.781,10.781,12.344,0
249,PermanentVisual,0,2,50,brownies,1,22.575,22.575,24.78,0
250,PermanentVisual,0,2,50,hotel,1,44.024,44.024,46.038,1
251,PermanentVisual,0,2,50,shampoo,1,23.062,23.062,27.12,0
252,PermanentVisual,0,2,50,toaster,1,33.284,33.284,37.275,0
253,DisappearingVisual,1,2,25,brownies,1,26.324,26.324,29.233,0
254,DisappearingVisual,1,2,25,hotel,1,3.847,3.847,10.028,1
255,DisappearingVisual,1,2,25,shampoo,1,4.744,4.744,5.765,0
256,DisappearingVisual,1,2,25,toaster,1,4.357,4.357,6.211,0
257,Auditory,1,2,25,brownies,2,2.156,3.318,5.252,1
258,Auditory,1,2,25,hotel,1,3.012,3.012,4.896,1
259,Auditory,1,2,25,shampoo,3,2.155,5.103,5.658,1
260,Auditory,1,2,25,toaster,1,4.489,4.489,8.446,1
261,PermanentVisual,0,2,23,brownies,1,4.973,4.973,6.614,1
262,PermanentVisual,0,2,23,hotel,4,4.038,10.683,11.89,0
263,PermanentVisual,0,2,23,shampoo,3,3.5,6.056,6.772,0
264,PermanentVisual,0,2,23,toaster,1,4.375,4.375,6.126,1
265,DisappearingVisual,1,2,50,brownies,1,8.514,8.514,9.477,0
266,DisappearingVisual,1,2,50,hotel,8,3.235,69.703,70.789,0
267,DisappearingVisual,1,2,50,shampoo,1,6.222,6.222,7.442,1
268,DisappearingVisual,1,2,50,toaster,4,212.212,218.531,219.655,0
269,Auditory,1,2,25,brownies,1,1.587,1.587,2.738,1
270,Auditory,1,2,25,hotel,2,1.362,2.569,3.763,1
271,Auditory,1,2,25,shampoo,2,1.931,2.489,3.235,1
272,Auditory,1,2,25,toaster,2,2.216,2.981,4.375,1
273,PermanentVisual,0,2,18,brownies,2,7.282,9.075,14.293,0
274,PermanentVisual,0,2,18,hotel,2,6.799,8.66,10.175,0
275,PermanentVisual,0,2,18,shampoo,2,3.048,7.069,14.015,0
276,PermanentVisual,0,2,18,toaster,1,17.059,17.059,22.585,0
277,Auditory,1,2,44,brownies,1,4.07,4.07,4.681,1
278,Auditory,1,2,44,hotel,1,3.342,3.342,5.051,1
279,Auditory,1,2,44,shampoo,1,6.911,6.911,8.682,1
280,Auditory,1,2,44,toaster,1,3.428,3.428,5.31,1
281,PermanentVisual,0,2,28,brownies,1,2.406,2.406,2.875,1
282,PermanentVisual,0,2,28,hotel,1,3.141,3.141,4.611,1
283,PermanentVisual,0,2,28,shampoo,2,1.075,4.547,12.597,0
284,PermanentVisual,0,2,28,toaster,1,6.488,6.488,7.561,0
285,DisappearingVisual,1,1,44,brownies,1,7.698,7.698,8.941,0
286,DisappearingVisual,1,1,44,hotel,2,11.019,12.277,13.623,0
287,DisappearingVisual,1,1,44,shampoo,1,15.299,15.299,16.713,0
288,DisappearingVisual,1,1,44,toaster,1,46.058,46.058,48.696,0
289,DisappearingVisual,1,2,29,brownies,2,8.615,10.951,11.935,1
290,DisappearingVisual,1,2,29,hotel,5,12.467,28.107,28.645,0
291,DisappearingVisual,1,2,29,shampoo,4,0.781,8.349,9.368,0
292,DisappearingVisual,1,2,29,toaster,10,41.812,100.635,101.228,0
293,Auditory,1,1,30,brownies,1,7.533,7.533,8.522,0
294,Auditory,1,1,30,hotel,1,3.705,3.705,6.849,0
295,Auditory,1,1,30,shampoo,2,6.439,7.055,9.314,0
296,Auditory,1,1,30,toaster,1,4.971,4.971,6.139,1
297,Auditory,1,1,31,brownies,2,2.366,3.131,3.472,1
298,Auditory,1,1,31,hotel,0,0,0,2.725,1
299,Auditory,1,1,31,shampoo,1,0.678,0.678,2.11,1
300,Auditory,1,1,31,toaster,1,3.562,3.562,5.574,1
301,Auditory,1,2,28,brownies,3,2.135,9.19,10.087,1
302,Auditory,1,2,28,hotel,1,1.572,1.572,5.229,1
303,Auditory,1,2,28,shampoo,1,6.062,6.062,8.72,0
304,Auditory,1,2,28,toaster,2,2.677,4.197,6.128,1
305,Auditory,1,2,34,brownies,1,8.372,8.372,10.365,0
306,Auditory,1,2,34,hotel,2,10.807,13.081,16.331,0
307,Auditory,1,2,34,shampoo,1,5.886,5.886,8.156,1
308,Auditory,1,2,34,toaster,3,5.286,19.146,20.352,1
309,PermanentVisual,0,1,39,brownies,0,0,0,1.583,0
310,PermanentVisual,0,1,39,hotel,4,2.711,8.635,10.913,0
311,PermanentVisual,0,1,39,shampoo,1,0.121,0.121,0.836,0
312,PermanentVisual,0,1,39,toaster,0,0,0,2.371,0
313,Auditory,1,1,21,brownies,1,8.452,8.452,11.671,0
314,Auditory,1,1,21,hotel,1,4.58,4.58,6.097,1
315,Auditory,1,1,21,shampoo,2,3.993,5.491,5.939,0
316,Auditory,1,1,21,toaster,1,19.279,19.279,24.49,0
317,Auditory,1,2,21,brownies,3,3.9,11.269,12.011,1
318,Auditory,1,2,21,hotel,6,5.44,25.144,26.543,0
319,Auditory,1,2,21,shampoo,3,5.647,13.584,15.18,1
320,Auditory,1,2,21,toaster,12,0.677,19.411,20.45,1
321,PermanentVisual,0,1,38,brownies,1,7.948,7.948,10.59,1
322,PermanentVisual,0,1,38,hotel,1,2.126,2.126,11.656,1
323,PermanentVisual,0,1,38,shampoo,1,4.027,4.027,6.404,0
324,PermanentVisual,0,1,38,toaster,1,11.252,11.252,13.54,0
325,PermanentVisual,0,1,38,brownies,1,9.168,9.168,10.04,1
326,PermanentVisual,0,1,38,hotel,1,8.138,8.138,12.835,1
327,PermanentVisual,0,1,38,shampoo,1,3.468,3.468,7.844,1
328,PermanentVisual,0,1,38,toaster,1,11.447,11.447,14.921,1
329,Auditory,1,2,28,brownies,1,6.579,6.579,9.732,0
330,Auditory,1,2,28,hotel,1,10.386,10.386,12.162,0
331,Auditory,1,2,28,shampoo,1,6.934,6.934,8.844,0
332,Auditory,1,2,28,toaster,1,16.5,16.5,18.59,1
333,DisappearingVisual,1,1,33,brownies,1,7.703,7.703,10.703,0
334,DisappearingVisual,1,1,33,hotel,1,6.839,6.839,8.176,1
335,DisappearingVisual,1,1,33,shampoo,1,7.886,7.886,9.126,0
336,DisappearingVisual,1,1,33,toaster,1,6.785,6.785,8.978,1
337,Auditory,1,2,27,brownies,1,3.25,3.25,7.405,1
338,Auditory,1,2,27,hotel,1,18.933,18.933,21.037,1
339,Auditory,1,2,27,shampoo,1,16.258,16.258,18.557,1
340,Auditory,1,2,27,toaster,1,18.913,18.913,26,0
341,PermanentVisual,0,2,28,brownies,1,13.539,13.539,14.701,1
342,PermanentVisual,0,2,28,hotel,0,0,0,2.417,1
343,PermanentVisual,0,2,28,shampoo,1,0.47,0.47,3.398,1
344,PermanentVisual,0,2,28,toaster,0,0,0,1.759,1
345,DisappearingVisual,1,1,39,brownies,3,7.48,18.692,20.802,0
346,DisappearingVisual,1,1,39,hotel,1,16.741,16.741,33.536,0
347,DisappearingVisual,1,1,39,shampoo,1,18.238,18.238,24.255,0
348,DisappearingVisual,1,1,39,toaster,1,32.579,32.579,48.547,0
